,ubigeo,distrito,tipo_area,poblacion,porcentaje,acumulado_porcentaje,anio
0,010101,CHACHAPOYAS,Area Urbana,21360,94.96,94.96,2005
1,010101,CHACHAPOYAS,Area Rural,1133,5.04,100.0,2005
2,010101,CHACHAPOYAS,Total,22493,100.0,100.0,2005
3,010102,ASUNCION,Area Urbana,157,44.48,44.48,2005
4,010102,ASUNCION,Area Rural,196,55.52,100.0,2005
5,010102,ASUNCION,Total,353,100.0,100.0,2005
6,010103,BALSAS,Area Urbana,235,19.06,19.06,2005
7,010103,BALSAS,Area Rural,998,80.94,100.0,2005
8,010103,BALSAS,Total,1233,100.0,100.0,2005
9,010104,CHETO,Area Urbana,360,52.48,52.48,2005
10,010104,CHETO,Area Rural,326,47.52,100.0,2005
11,010104,CHETO,Total,686,100.0,100.0,2005
12,010105,CHILIQUIN,Area Urbana,230,24.16,24.16,2005
13,010105,CHILIQUIN,Area Rural,722,75.84,100.0,2005
14,010105,CHILIQUIN,Total,952,100.0,100.0,2005
15,010106,CHUQUIBAMBA,Area Urbana,643,32.43,32.43,2005
16,010106,CHUQUIBAMBA,Area Rural,1340,67.57,100.0,2005
17,010106,CHUQUIBAMBA,Total,1983,100.0,100.0,2005
18,010107,GRANADA,Area Urbana,169,26.28,26.28,2005
19,010107,GRANADA,Area Rural,474,73.72,100.0,2005
20,010107,GRANADA,Total,643,100.0,100.0,2005
21,010108,HUANCAS,Area Urbana,366,45.47,45.47,2005
22,010108,HUANCAS,Area Rural,439,54.53,100.0,2005
23,010108,HUANCAS,Total,805,100.0,100.0,2005
24,010109,LA JALCA,Area Urbana,1885,35.94,35.94,2005
25,010109,LA JALCA,Area Rural,3360,64.06,100.0,2005
26,010109,LA JALCA,Total,5245,100.0,100.0,2005
27,010110,LEIMEBAMBA,Area Urbana,1932,49.59,49.59,2005
28,010110,LEIMEBAMBA,Area Rural,1964,50.41,100.0,2005
29,010110,LEIMEBAMBA,Total,3896,100.0,100.0,2005
30,010111,LEVANTO,Area Urbana,522,49.57,49.57,2005
31,010111,LEVANTO,Area Rural,531,50.43,100.0,2005
32,010111,LEVANTO,Total,1053,100.0,100.0,2005
33,010112,MAGDALENA,Area Urbana,685,77.84,77.84,2005
34,010112,MAGDALENA,Area Rural,195,22.16,100.0,2005
35,010112,MAGDALENA,Total,880,100.0,100.0,2005
36,010113,MARISCAL CASTILLA,Area Urbana,572,45.69,45.69,2005
37,010113,MARISCAL CASTILLA,Area Rural,680,54.31,100.0,2005
38,010113,MARISCAL CASTILLA,Total,1252,100.0,100.0,2005
39,010114,MOLINOPAMPA,Area Urbana,721,27.91,27.91,2005
40,010114,MOLINOPAMPA,Area Rural,1862,72.09,100.0,2005
41,010114,MOLINOPAMPA,Total,2583,100.0,100.0,2005
42,010115,MONTEVIDEO,Area Urbana,781,82.12,82.12,2005
43,010115,MONTEVIDEO,Area Rural,170,17.88,100.0,2005
44,010115,MONTEVIDEO,Total,951,100.0,100.0,2005
45,010116,OLLEROS,Area Urbana,129,28.04,28.04,2005
46,010116,OLLEROS,Area Rural,331,71.96,100.0,2005
47,010116,OLLEROS,Total,460,100.0,100.0,2005
48,010117,QUINJALCA,Area Urbana,142,12.8,12.8,2005
49,010117,QUINJALCA,Area Rural,967,87.2,100.0,2005
50,010117,QUINJALCA,Total,1109,100.0,100.0,2005
51,010118,SAN FRANCISCO DE DAGUAS,Area Urbana,230,74.43,74.43,2005
52,010118,SAN FRANCISCO DE DAGUAS,Area Rural,79,25.57,100.0,2005
53,010118,SAN FRANCISCO DE DAGUAS,Total,309,100.0,100.0,2005
54,010119,SAN ISIDRO DE MAINO,Area Urbana,508,60.69,60.69,2005
55,010119,SAN ISIDRO DE MAINO,Area Rural,329,39.31,100.0,2005
56,010119,SAN ISIDRO DE MAINO,Total,837,100.0,100.0,2005
57,010120,SOLOCO,Area Urbana,325,20.15,20.15,2005
58,010120,SOLOCO,Area Rural,1288,79.85,100.0,2005
59,010120,SOLOCO,Total,1613,100.0,100.0,2005
60,010121,SONCHE,Area Urbana,112,47.26,47.26,2005
61,010121,SONCHE,Area Rural,125,52.74,100.0,2005
62,010121,SONCHE,Total,237,100.0,100.0,2005
63,010201,LA PECA,Area Urbana,23817,77.12,77.12,2005
64,010201,LA PECA,Area Rural,7066,22.88,100.0,2005
65,010201,LA PECA,Total,30883,100.0,100.0,2005
66,010202,ARAMANGO,Area Urbana,2645,21.96,21.96,2005
67,010202,ARAMANGO,Area Rural,9398,78.04,100.0,2005
68,010202,ARAMANGO,Total,12043,100.0,100.0,2005
69,010203,COPALLIN,Area Urbana,1576,27.4,27.4,2005
70,010203,COPALLIN,Area Rural,4176,72.6,100.0,2005
71,010203,COPALLIN,Total,5752,100.0,100.0,2005
72,010204,EL PARCO,Area Urbana,658,70.6,70.6,2005
73,010204,EL PARCO,Area Rural,274,29.4,100.0,2005
74,010204,EL PARCO,Total,932,100.0,100.0,2005
75,010205,IMAZA,Area Urbana,2456,9.97,9.97,2005
76,010205,IMAZA,Area Rural,22190,90.03,100.0,2005
77,010205,IMAZA,Total,24646,100.0,100.0,2005
78,010301,JUMBILLA,Area Urbana,1335,88.82,88.82,2005
79,010301,JUMBILLA,Area Rural,168,11.18,100.0,2005
80,010301,JUMBILLA,Total,1503,100.0,100.0,2005
81,010302,CHISQUILLA,Area Urbana,157,44.6,44.6,2005
82,010302,CHISQUILLA,Area Rural,195,55.4,100.0,2005
83,010302,CHISQUILLA,Total,352,100.0,100.0,2005
84,010303,CHURUJA,Area Urbana,207,85.54,85.54,2005
85,010303,CHURUJA,Area Rural,35,14.46,100.0,2005
86,010303,CHURUJA,Total,242,100.0,100.0,2005
87,010304,COROSHA,Area Urbana,85,12.5,12.5,2005
88,010304,COROSHA,Area Rural,595,87.5,100.0,2005
89,010304,COROSHA,Total,680,100.0,100.0,2005
90,010305,CUISPES,Area Urbana,331,41.53,41.53,2005
91,010305,CUISPES,Area Rural,466,58.47,100.0,2005
92,010305,CUISPES,Total,797,100.0,100.0,2005
93,010306,FLORIDA,Area Urbana,2715,51.83,51.83,2005
94,010306,FLORIDA,Area Rural,2523,48.17,100.0,2005
