ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
010101,Amazonas,Chachapoyas,Chachapoyas,Urbano,35233,2017
010101,Amazonas,Chachapoyas,Chachapoyas,Rural,634,2017
010101,Amazonas,Chachapoyas,Chachapoyas,Total,35867,2017
010102,Amazonas,Chachapoyas,Asunción,Urbano,155,2017
010102,Amazonas,Chachapoyas,Asunción,Rural,127,2017
010102,Amazonas,Chachapoyas,Asunción,Total,283,2017
010103,Amazonas,Chachapoyas,Balsas,Urbano,371,2017
010103,Amazonas,Chachapoyas,Balsas,Rural,861,2017
010103,Amazonas,Chachapoyas,Balsas,Total,1232,2017
010104,Amazonas,Chachapoyas,Cheto,Urbano,473,2017
010104,Amazonas,Chachapoyas,Cheto,Rural,208,2017
010104,Amazonas,Chachapoyas,Cheto,Total,681,2017
010105,Amazonas,Chachapoyas,Chiliquin,Urbano,200,2017
010105,Amazonas,Chachapoyas,Chiliquin,Rural,427,2017
010105,Amazonas,Chachapoyas,Chiliquin,Total,628,2017
010106,Amazonas,Chachapoyas,Chuquibamba,Urbano,570,2017
010106,Amazonas,Chachapoyas,Chuquibamba,Rural,1408,2017
010106,Amazonas,Chachapoyas,Chuquibamba,Total,1978,2017
010107,Amazonas,Chachapoyas,Granada,Urbano,191,2017
010107,Amazonas,Chachapoyas,Granada,Rural,326,2017
010107,Amazonas,Chachapoyas,Granada,Total,517,2017
010108,Amazonas,Chachapoyas,Huancas,Urbano,1239,2017
010108,Amazonas,Chachapoyas,Huancas,Rural,46,2017
010108,Amazonas,Chachapoyas,Huancas,Total,1286,2017
010109,Amazonas,Chachapoyas,La Jalca,Urbano,2521,2017
010109,Amazonas,Chachapoyas,La Jalca,Rural,1731,2017
010109,Amazonas,Chachapoyas,La Jalca,Total,4253,2017
010110,Amazonas,Chachapoyas,Leimebamba,Urbano,2957,2017
010110,Amazonas,Chachapoyas,Leimebamba,Rural,913,2017
010110,Amazonas,Chachapoyas,Leimebamba,Total,3871,2017
010111,Amazonas,Chachapoyas,Levanto,Urbano,482,2017
010111,Amazonas,Chachapoyas,Levanto,Rural,355,2017
010111,Amazonas,Chachapoyas,Levanto,Total,838,2017
010112,Amazonas,Chachapoyas,Magdalena,Urbano,746,2017
010112,Amazonas,Chachapoyas,Magdalena,Rural,166,2017
010112,Amazonas,Chachapoyas,Magdalena,Total,913,2017
010113,Amazonas,Chachapoyas,Mariscal Castilla,Urbano,1033,2017
010113,Amazonas,Chachapoyas,Mariscal Castilla,Rural,420,2017
010113,Amazonas,Chachapoyas,Mariscal Castilla,Total,1454,2017
010114,Amazonas,Chachapoyas,Molinopampa,Urbano,694,2017
010114,Amazonas,Chachapoyas,Molinopampa,Rural,1640,2017
010114,Amazonas,Chachapoyas,Molinopampa,Total,2334,2017
010115,Amazonas,Chachapoyas,Montevideo,Urbano,488,2017
010115,Amazonas,Chachapoyas,Montevideo,Rural,39,2017
010115,Amazonas,Chachapoyas,Montevideo,Total,527,2017
010116,Amazonas,Chachapoyas,Olleros,Urbano,147,2017
010116,Amazonas,Chachapoyas,Olleros,Rural,271,2017
010116,Amazonas,Chachapoyas,Olleros,Total,418,2017
010117,Amazonas,Chachapoyas,Quinjalca,Urbano,106,2017
010117,Amazonas,Chachapoyas,Quinjalca,Rural,721,2017
010117,Amazonas,Chachapoyas,Quinjalca,Total,828,2017
010118,Amazonas,Chachapoyas,San Francisco de Daguas,Urbano,242,2017
010118,Amazonas,Chachapoyas,San Francisco de Daguas,Rural,78,2017
010118,Amazonas,Chachapoyas,San Francisco de Daguas,Total,320,2017
010119,Amazonas,Chachapoyas,San Isidro de Maino,Urbano,451,2017
010119,Amazonas,Chachapoyas,San Isidro de Maino,Rural,161,2017
010119,Amazonas,Chachapoyas,San Isidro de Maino,Total,613,2017
010120,Amazonas,Chachapoyas,Soloco,Urbano,240,2017
010120,Amazonas,Chachapoyas,Soloco,Rural,1060,2017
010120,Amazonas,Chachapoyas,Soloco,Total,1300,2017
010121,Amazonas,Chachapoyas,Sonche,Urbano,110,2017
010121,Amazonas,Chachapoyas,Sonche,Rural,157,2017
010121,Amazonas,Chachapoyas,Sonche,Total,268,2017
010201,Amazonas,Bagua,Bagua,Urbano,26241,2017
010201,Amazonas,Bagua,Bagua,Rural,2594,2017
010201,Amazonas,Bagua,Bagua,Total,28836,2017
010202,Amazonas,Bagua,Aramango,Urbano,2935,2017
010202,Amazonas,Bagua,Aramango,Rural,7551,2017
010202,Amazonas,Bagua,Aramango,Total,10486,2017
010203,Amazonas,Bagua,Copallin,Urbano,2466,2017
010203,Amazonas,Bagua,Copallin,Rural,2505,2017
010203,Amazonas,Bagua,Copallin,Total,4971,2017
010204,Amazonas,Bagua,El Parco,Urbano,671,2017
010204,Amazonas,Bagua,El Parco,Rural,621,2017
010204,Amazonas,Bagua,El Parco,Total,1292,2017
010205,Amazonas,Bagua,Imaza,Urbano,5376,2017
010205,Amazonas,Bagua,Imaza,Rural,24475,2017
010205,Amazonas,Bagua,Imaza,Total,29851,2017
010206,Amazonas,Bagua,La Peca,Urbano,4174,2017
010206,Amazonas,Bagua,La Peca,Rural,2578,2017
010206,Amazonas,Bagua,La Peca,Total,6753,2017
010301,Amazonas,Bongara,Jumbilla,Urbano,1139,2017
010301,Amazonas,Bongara,Jumbilla,Rural,245,2017
010301,Amazonas,Bongara,Jumbilla,Total,1384,2017
010302,Amazonas,Bongara,Chisquilla,Urbano,126,2017
010302,Amazonas,Bongara,Chisquilla,Rural,197,2017
010302,Amazonas,Bongara,Chisquilla,Total,324,2017
010303,Amazonas,Bongara,Churuja,Urbano,286,2017
010303,Amazonas,Bongara,Churuja,Rural,10,2017
010303,Amazonas,Bongara,Churuja,Total,297,2017
010304,Amazonas,Bongara,Corosha,Urbano,79,2017
010304,Amazonas,Bongara,Corosha,Rural,725,2017
010304,Amazonas,Bongara,Corosha,Total,805,2017
010305,Amazonas,Bongara,Cuispes,Urbano,393,2017
010305,Amazonas,Bongara,Cuispes,Rural,314,2017
010305,Amazonas,Bongara,Cuispes,Total,707,2017
010306,Amazonas,Bongara,Florida,Urbano,3868,2017
010306,Amazonas,Bongara,Florida,Rural,2526,2017
010306,Amazonas,Bongara,Florida,Total,6395,2017
010307,Amazonas,Bongara,Jazan,Urbano,6788,2017
