,Ubigeo,Departamento,Provincia,Distrito
0,10101,Amazonas,Chachapoyas,Chachapoyas
57,10102,Amazonas,Chachapoyas,Asunción
111,10103,Amazonas,Chachapoyas,Balsas
168,10104,Amazonas,Chachapoyas,Cheto
224,10105,Amazonas,Chachapoyas,Chiliquin
278,10106,Amazonas,Chachapoyas,Chuquibamba
335,10107,Amazonas,Chachapoyas,Granada
391,10108,Amazonas,Chachapoyas,Huancas
446,10109,Amazonas,Chachapoyas,La Jalca
503,10110,Amazonas,Chachapoyas,Leimebamba
560,10111,Amazonas,Chachapoyas,Levanto
617,10112,Amazonas,Chachapoyas,Magdalena
674,10113,Amazonas,Chachapoyas,Mariscal Castilla
731,10114,Amazonas,Chachapoyas,Molinopampa
787,10115,Amazonas,Chachapoyas,Montevideo
843,10116,Amazonas,Chachapoyas,Olleros
895,10117,Amazonas,Chachapoyas,Quinjalca
949,10118,Amazonas,Chachapoyas,San Francisco de Daguas
1005,10119,Amazonas,Chachapoyas,San Isidro de Maino
1061,10120,Amazonas,Chachapoyas,Soloco
1118,10121,Amazonas,Chachapoyas,Sonche
1174,10201,Amazonas,Bagua,Bagua
1231,10202,Amazonas,Bagua,Aramango
1288,10203,Amazonas,Bagua,Copallin
1345,10204,Amazonas,Bagua,El Parco
1402,10205,Amazonas,Bagua,Imaza
1459,10206,Amazonas,Bagua,La Peca
1516,10301,Amazonas,Bongara,Jumbilla
1572,10302,Amazonas,Bongara,Chisquilla
1625,10303,Amazonas,Bongara,Churuja
1682,10304,Amazonas,Bongara,Corosha
1738,10305,Amazonas,Bongara,Cuispes
1794,10306,Amazonas,Bongara,Florida
1851,10307,Amazonas,Bongara,Jazan
1908,10308,Amazonas,Bongara,Recta
1962,10309,Amazonas,Bongara,San Carlos
2018,10310,Amazonas,Bongara,Shipasbamba
2075,10311,Amazonas,Bongara,Valera
2132,10312,Amazonas,Bongara,Yambrasbamba
2189,10401,Amazonas,Condorcanqui,Nieva
2246,10402,Amazonas,Condorcanqui,El Cenepa
2302,10403,Amazonas,Condorcanqui,Rio Santiago
2358,10501,Amazonas,Luya,Lamud
2415,10502,Amazonas,Luya,Camporredondo
2472,10503,Amazonas,Luya,Cocabamba
2529,10504,Amazonas,Luya,Colcamar
2586,10505,Amazonas,Luya,Conila
2643,10506,Amazonas,Luya,Inguilpata
2700,10507,Amazonas,Luya,Longuita
2757,10508,Amazonas,Luya,Lonya Chico
2814,10509,Amazonas,Luya,Luya
2871,10510,Amazonas,Luya,Luya Viejo
2925,10511,Amazonas,Luya,María
2982,10512,Amazonas,Luya,Ocalli
3039,10513,Amazonas,Luya,Ocumal
3096,10514,Amazonas,Luya,Pisuquia
3153,10515,Amazonas,Luya,Providencia
3209,10516,Amazonas,Luya,San Cristobal
3265,10517,Amazonas,Luya,San Francisco del Yeso
3322,10518,Amazonas,Luya,San Jerónimo
3378,10519,Amazonas,Luya,San Juan de Lopecancha
