ubigeo,distrito,tipo_area,poblacion,anio
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Urbano censal,35233,2017
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Rural censal,634,2017
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Total,35867,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Urbano censal,155,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Rural censal,127,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Total,283,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Urbano censal,371,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Rural censal,861,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Total,1232,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Urbano censal,473,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Rural censal,208,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Total,681,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Urbano censal,200,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Rural censal,427,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Total,628,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Urbano censal,570,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Rural censal,1408,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Total,1978,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Urbano censal,191,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Rural censal,326,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Total,517,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Urbano censal,1239,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Rural censal,46,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Total,1286,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Urbano censal,2521,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Rural censal,1731,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Total,4253,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Urbano censal,2957,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Rural censal,913,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Total,3871,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Urbano censal,482,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Rural censal,355,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Total,838,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Urbano censal,746,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Rural censal,166,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Total,913,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Urbano censal,1033,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Rural censal,420,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Total,1454,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Urbano censal,694,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Rural censal,1640,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Total,2334,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Urbano censal,488,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Rural censal,39,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Total,527,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Urbano censal,147,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Rural censal,271,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Total,418,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Urbano censal,106,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Rural censal,721,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Total,828,2017
010118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",Urbano censal,242,2017
